x,BSpline1,f_exact(x)
0.82750000,0.06500000,0.05519097
0.83000000,0.06461538,0.05487721
0.83250000,0.06423077,0.05456607
0.83500000,0.06384615,0.05425752
0.83750000,0.06346154,0.05395153
0.84000000,0.06307692,0.05364807
0.84250000,0.06269231,0.05334711
0.84500000,0.06230769,0.05304864
0.84750000,0.06192308,0.05275261
0.85000000,0.06153846,0.05245902
0.85250000,0.06115385,0.05216782
0.85500000,0.06076923,0.05187899
0.85750000,0.06038462,0.05159252
0.86000000,0.06000000,0.05130836
0.86250000,0.05961538,0.05102651
0.86500000,0.05923077,0.05074693
0.86750000,0.05884615,0.05046960
0.87000000,0.05846154,0.05019450
0.87250000,0.05807692,0.04992161
